Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
236119,3.96639,0.19805,0.15307,14.59,-99.9999,1,153,Hilda
236126,3.96604,0.18931,0.15601,14.22,-99.9999,1,153,Hilda
236209,3.96014,0.1113,0.14491,14.54,-99.9999,1,153,Hilda
236677,3.96436,0.1565,0.15584,14.46,-99.9999,1,153,Hilda
236884,3.96046,0.1148,0.15173,14.51,-99.9999,1,153,Hilda
237278,3.96546,0.17465,0.14646,14.25,-99.9999,1,153,Hilda
237310,3.96585,0.18333,0.16398,13.95,-99.9999,1,153,Hilda
238154,3.9613,0.12129,0.15726,13.81,-99.9999,1,153,Hilda
238818,3.96222,0.13107,0.14087,14.1,-99.9999,1,153,Hilda
238829,3.96723,0.22271,0.15922,14.27,-99.9999,1,153,Hilda
241376,3.96833,0.26769,0.15606,15.19,-99.9999,1,153,Hilda
241563,3.96717,0.21878,0.15472,14.35,-99.9999,1,153,Hilda
242008,3.96742,0.2305,0.12805,13.79,-99.9999,1,153,Hilda
242016,3.96746,0.23188,0.12355,14.67,-99.9999,1,153,Hilda
242148,3.96825,0.26414,0.15091,15.27,-99.9999,1,153,Hilda
242149,3.96809,0.25531,0.16164,14.61,-99.9999,1,153,Hilda
242159,3.96761,0.23247,0.17024,13.37,-99.9999,1,153,Hilda
242178,3.96682,0.20895,0.14933,14.03,-99.9999,1,153,Hilda
242290,3.96259,0.13391,0.14273,14.13,-99.9999,1,153,Hilda
243267,3.96605,0.19123,0.14537,14.82,-99.9999,1,153,Hilda
243311,3.96594,0.18364,0.15966,14.52,-99.9999,1,153,Hilda
244438,3.96557,0.17568,0.1548,14.03,-99.9999,1,153,Hilda
244478,3.9617,0.12464,0.14275,13.57,-99.9999,1,153,Hilda
246178,3.96086,0.11826,0.14742,14.29,-99.9999,1,153,Hilda
247405,3.96759,0.23059,0.16013,14.59,-99.9999,1,153,Hilda
247553,3.95803,0.09684,0.16159,14.82,-99.9999,1,153,Hilda
247563,3.95989,0.11069,0.14657,14.35,-99.9999,1,153,Hilda
247893,3.96684,0.20822,0.15568,13.93,-99.9999,1,153,Hilda
248004,3.96715,0.22294,0.13909,14.53,-99.9999,1,153,Hilda
248430,3.96628,0.19525,0.158,15.47,-99.9999,1,153,Hilda
248945,3.96749,0.23244,0.16184,14.25,-99.9999,1,153,Hilda
249017,3.96327,0.14396,0.1479,14.71,-99.9999,1,153,Hilda
249182,3.96519,0.17079,0.15879,14.13,-99.9999,1,153,Hilda
250124,3.96785,0.24421,0.16426,14.08,-99.9999,1,153,Hilda
250125,3.96213,0.12837,0.15118,14.14,-99.9999,1,153,Hilda
250139,3.96143,0.12008,0.16,14.04,-99.9999,1,153,Hilda
250576,3.95902,0.10315,0.15811,14.49,-99.9999,1,153,Hilda
252274,3.96059,0.11188,0.16592,14.09,-99.9999,1,153,Hilda
253026,3.96314,0.14128,0.1552,14.81,-99.9999,1,153,Hilda
253041,3.96607,0.19057,0.15147,14.35,-99.9999,1,153,Hilda
253068,3.96285,0.13747,0.15717,14.26,-99.9999,1,153,Hilda
253102,3.95815,0.09865,0.14686,14.66,-99.9999,1,153,Hilda
255525,3.95806,0.09826,0.14165,14.32,-99.9999,1,153,Hilda
255981,3.96385,0.15069,0.15186,14.68,-99.9999,1,153,Hilda
257456,3.96696,0.21526,0.14846,14.05,-99.9999,1,153,Hilda
258308,3.96347,0.14508,0.15235,13.55,-99.9999,1,153,Hilda
259897,3.96515,0.17131,0.14391,14.52,-99.9999,1,153,Hilda
260613,3.961,0.11954,0.12855,14.02,-99.9999,1,153,Hilda
264034,3.96794,0.25016,0.16922,14.68,-99.9999,1,153,Hilda
266591,3.96728,0.22126,0.15088,14.93,-99.9999,1,153,Hilda
268455,3.96754,0.23213,0.16528,14.42,-99.9999,1,153,Hilda
269332,3.96709,0.21783,0.16794,14.63,-99.9999,1,153,Hilda
270356,3.96759,0.23482,0.15874,14.24,-99.9999,1,153,Hilda
271074,3.96694,0.2114,0.15771,15.07,-99.9999,1,153,Hilda
271598,3.96666,0.20226,0.13871,14.74,-99.9999,1,153,Hilda
272227,3.96726,0.22427,0.16012,13.76,-99.9999,1,153,Hilda
272417,3.96768,0.23856,0.16286,14.09,-99.9999,1,153,Hilda
274013,3.96668,0.20264,0.15128,14.45,-99.9999,1,153,Hilda
274811,3.96501,0.16419,0.15834,14.71,-99.9999,1,153,Hilda
275993,3.96813,0.25387,0.17007,14.94,-99.9999,1,153,Hilda
276284,3.9621,0.13005,0.15065,15.04,-99.9999,1,153,Hilda
277251,3.96762,0.23759,0.15919,14.64,-99.9999,1,153,Hilda
278044,3.96795,0.24636,0.16397,14.66,-99.9999,1,153,Hilda
279110,3.96253,0.13392,0.15925,14.63,-99.9999,1,153,Hilda
279239,3.96771,0.23677,0.15525,14.74,-99.9999,1,153,Hilda
279434,3.96167,0.12605,0.14865,14.43,-99.9999,1,153,Hilda
279435,3.96713,0.21967,0.16065,15.07,-99.9999,1,153,Hilda
280527,3.96807,0.25419,0.15785,14.8,-99.9999,1,153,Hilda
283318,3.96349,0.14425,0.15406,14.28,-99.9999,1,153,Hilda
283786,3.96147,0.12108,0.15157,14.23,-99.9999,1,153,Hilda
284419,3.9601,0.11057,0.1491,14.45,-99.9999,1,153,Hilda
284634,3.96616,0.19005,0.15824,14.97,-99.9999,1,153,Hilda
285233,3.96678,0.20825,0.16184,14.75,-99.9999,1,153,Hilda
287385,3.9674,0.22578,0.14624,14.49,-99.9999,1,153,Hilda
288443,3.96386,0.15147,0.145,15.05,-99.9999,1,153,Hilda
289947,3.9603,0.11399,0.14397,14.66,-99.9999,1,153,Hilda
290252,3.96659,0.20523,0.13544,14.67,-99.9999,1,153,Hilda
290469,3.9654,0.17639,0.15247,15.26,-99.9999,1,153,Hilda
290742,3.96742,0.22574,0.15059,14.57,-99.9999,1,153,Hilda
291195,3.96736,0.2277,0.16039,14.69,-99.9999,1,153,Hilda
291622,3.96289,0.13737,0.14529,13.97,-99.9999,1,153,Hilda
291676,3.96779,0.24285,0.15419,14.8,-99.9999,1,153,Hilda
294784,3.96479,0.16359,0.15612,13.68,-99.9999,1,153,Hilda
295396,3.96211,0.13003,0.15282,14.67,-99.9999,1,153,Hilda
295562,3.96409,0.15481,0.14253,14.54,-99.9999,1,153,Hilda
296545,3.96324,0.14245,0.15306,14.69,-99.9999,1,153,Hilda
298376,3.96668,0.20442,0.14973,14.26,-99.9999,1,153,Hilda
298484,3.96238,0.13248,0.13888,14.93,-99.9999,1,153,Hilda
298867,3.96186,0.12727,0.15495,14.42,-99.9999,1,153,Hilda
299012,3.96815,0.25536,0.15472,14.36,-99.9999,1,153,Hilda
300986,3.9605,0.11574,0.12843,14.64,-99.9999,1,153,Hilda
300994,3.96538,0.17457,0.14698,14.81,-99.9999,1,153,Hilda
302915,3.96297,0.1385,0.14568,14.81,-99.9999,1,153,Hilda
306202,3.96807,0.25032,0.17334,15.22,-99.9999,1,153,Hilda
307703,3.96088,0.1181,0.14757,14.98,-99.9999,1,153,Hilda
310756,3.96677,0.20692,0.15959,14.26,-99.9999,1,153,Hilda
310936,3.96806,0.25082,0.16591,15.09,-99.9999,1,153,Hilda
315908,3.9591,0.10447,0.14328,14.76,-99.9999,1,153,Hilda
315924,3.96634,0.19412,0.15871,14.87,-99.9999,1,153,Hilda
315930,3.96602,0.18745,0.15856,14.13,-99.9999,1,153,Hilda
316206,3.96525,0.1689,0.16142,15.01,-99.9999,1,153,Hilda
317051,3.96489,0.16496,0.16793,14.39,-99.9999,1,153,Hilda
318009,3.9664,0.19878,0.15075,14.33,-99.9999,1,153,Hilda
318014,3.96775,0.23928,0.17016,14.47,-99.9999,1,153,Hilda
318926,3.96682,0.20766,0.15229,14.22,-99.9999,1,153,Hilda
321630,3.96299,0.13927,0.16002,14.79,-99.9999,1,153,Hilda
323417,3.96659,0.20293,0.1647,14.98,-99.9999,1,153,Hilda
325385,3.96271,0.13433,0.15606,15.04,-99.9999,1,153,Hilda
