Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
131369,1.89318,0.08345,0.36526,16.49,-0.86,3,434,Hungaria
131411,1.97677,0.07437,0.36529,16.09,0.66,3,434,Hungaria
131413,1.97537,0.06306,0.35393,15.97,0.66,3,434,Hungaria
131415,1.92461,0.06288,0.3542,16.45,-0.34,3,434,Hungaria
131431,1.88776,0.06442,0.37425,16.06,-1.16,3,434,Hungaria
131439,1.94374,0.07632,0.36161,16.18,0.0,3,434,Hungaria
131444,1.98537,0.05458,0.36303,15.89,0.91,3,434,Hungaria
131450,1.93451,0.06501,0.38028,15.87,-0.22,3,434,Hungaria
131456,1.96483,0.07575,0.35399,16.65,0.32,3,434,Hungaria
131457,1.97037,0.07077,0.35321,15.92,0.57,3,434,Hungaria
131465,1.96354,0.08618,0.36155,16.62,0.3,3,434,Hungaria
131467,1.88985,0.08618,0.36901,16.4,-0.95,3,434,Hungaria
131469,1.92462,0.08774,0.36032,15.66,-0.48,3,434,Hungaria
131470,1.91978,0.08321,0.37152,16.0,-0.52,3,434,Hungaria
131471,1.95933,0.06159,0.35678,15.87,0.34,3,434,Hungaria
131486,1.91254,0.07953,0.34432,16.87,-0.45,3,434,Hungaria
131583,1.93558,0.0904,0.3451,15.8,-0.2,3,434,Hungaria
132874,1.87506,0.09498,0.36503,16.96,-0.94,3,434,Hungaria
132972,1.91202,0.07394,0.38021,16.49,-0.54,3,434,Hungaria
133029,1.98178,0.085,0.34938,16.06,0.77,3,434,Hungaria
133033,1.90201,0.06033,0.36121,16.43,-0.73,3,434,Hungaria
133034,1.97648,0.0568,0.36147,15.85,0.73,3,434,Hungaria
133036,1.91238,0.07125,0.34542,16.24,-0.6,3,434,Hungaria
133040,1.91918,0.08889,0.34704,16.51,-0.42,3,434,Hungaria
133042,1.88712,0.09068,0.36436,16.69,-0.88,3,434,Hungaria
133044,1.91423,0.08902,0.36075,16.76,-0.45,3,434,Hungaria
133046,1.95263,0.0929,0.35816,16.58,0.13,3,434,Hungaria
133049,1.91806,0.04876,0.37417,16.13,-0.52,3,434,Hungaria
133053,1.91097,0.06837,0.35225,16.58,-0.54,3,434,Hungaria
133054,1.92526,0.06108,0.36339,15.04,-0.62,3,434,Hungaria
133057,1.91978,0.09163,0.36396,15.06,-0.8,3,434,Hungaria
133058,1.90393,0.05654,0.36654,15.58,-1.03,3,434,Hungaria
133874,1.99092,0.08191,0.34985,15.85,1.05,3,434,Hungaria
133890,1.89223,0.07931,0.35047,16.35,-0.93,3,434,Hungaria
133902,1.93253,0.08776,0.35149,16.01,-0.25,3,434,Hungaria
133911,1.90457,0.07707,0.36684,17.0,-0.53,3,434,Hungaria
133936,1.95955,0.07597,0.36388,16.2,0.29,3,434,Hungaria
133937,1.93366,0.08136,0.36151,16.57,-0.17,3,434,Hungaria
134241,1.95601,0.07827,0.36533,16.61,0.19,3,434,Hungaria
134366,1.91674,0.05473,0.37646,15.79,-0.64,3,434,Hungaria
134422,1.91676,0.0705,0.37837,15.7,-0.67,3,434,Hungaria
134440,1.94885,0.06559,0.35843,16.21,0.09,3,434,Hungaria
134482,1.98155,0.05867,0.35423,16.61,0.59,3,434,Hungaria
134620,1.95731,0.06412,0.35596,16.36,0.23,3,434,Hungaria
134769,1.89791,0.04761,0.37918,16.6,-0.74,3,434,Hungaria
134813,1.95491,0.08291,0.34563,16.43,0.18,3,434,Hungaria
134820,1.9305,0.08457,0.35742,15.98,-0.29,3,434,Hungaria
134834,1.98024,0.09782,0.34102,16.41,0.63,3,434,Hungaria
134836,1.95235,0.08128,0.35147,16.25,0.15,3,434,Hungaria
134837,1.95398,0.07376,0.35289,16.1,0.19,3,434,Hungaria
134845,1.97748,0.0824,0.34324,15.86,0.74,3,434,Hungaria
135140,1.924,0.07693,0.35253,16.04,-0.42,3,434,Hungaria
135152,1.93849,0.08643,0.34814,16.73,-0.09,3,434,Hungaria
135233,1.92609,0.08004,0.3535,15.89,-0.4,3,434,Hungaria
135238,1.90929,0.09068,0.34849,16.1,-0.7,3,434,Hungaria
135462,1.89403,0.08598,0.36876,16.48,-0.85,3,434,Hungaria
135477,1.98209,0.07149,0.35626,16.17,0.73,3,434,Hungaria
135486,1.95875,0.08284,0.35926,15.66,0.36,3,434,Hungaria
135528,1.9871,0.08163,0.34589,16.52,0.71,3,434,Hungaria
135623,1.9832,0.09632,0.3455,16.21,0.74,3,434,Hungaria
136117,1.90421,0.07244,0.35627,16.46,-0.68,3,434,Hungaria
136399,1.90192,0.06961,0.36049,16.32,-0.77,3,434,Hungaria
136810,1.92422,0.07525,0.35219,16.74,-0.3,3,434,Hungaria
136934,1.9034,0.07705,0.36129,16.3,-0.75,3,434,Hungaria
136951,1.91432,0.09213,0.34303,16.86,-0.42,3,434,Hungaria
136953,1.93425,0.04795,0.36696,16.51,-0.17,3,434,Hungaria
136954,1.93558,0.06869,0.34746,16.54,-0.14,3,434,Hungaria
136989,1.92042,0.0954,0.38232,16.51,-0.4,3,434,Hungaria
136990,1.91204,0.08933,0.34867,16.52,-0.53,3,434,Hungaria
137030,1.92582,0.07503,0.35381,15.76,-0.43,3,434,Hungaria
137037,1.95004,0.08676,0.36282,16.7,0.09,3,434,Hungaria
137053,1.92739,0.08554,0.36077,16.73,-0.25,3,434,Hungaria
137057,1.93935,0.07114,0.36159,16.31,-0.09,3,434,Hungaria
137066,1.94294,0.06875,0.34642,17.22,-0.02,3,434,Hungaria
137973,1.90177,0.07828,0.36998,16.31,-0.78,3,434,Hungaria
138133,1.91986,0.07856,0.35597,16.6,-0.39,3,434,Hungaria
138143,1.92296,0.07452,0.35745,16.96,-0.29,3,434,Hungaria
138195,1.90363,0.09494,0.36796,16.23,-0.77,3,434,Hungaria
138197,1.92517,0.0767,0.36553,16.97,-0.26,3,434,Hungaria
138259,1.90752,0.06899,0.37758,16.9,-0.51,3,434,Hungaria
138276,1.93089,0.06246,0.34724,16.73,-0.2,3,434,Hungaria
138324,1.92715,0.07249,0.35528,15.95,-0.37,3,434,Hungaria
138357,1.89429,0.07521,0.36456,16.12,-1.0,3,434,Hungaria
138385,1.89253,0.05605,0.36402,16.02,-1.08,3,434,Hungaria
138407,1.92718,0.07801,0.37622,16.09,-0.35,3,434,Hungaria
138411,1.89854,0.05643,0.36712,16.35,-0.82,3,434,Hungaria
138450,1.93348,0.04915,0.36815,16.12,-0.22,3,434,Hungaria
138480,1.91934,0.07891,0.35635,16.59,-0.4,3,434,Hungaria
138482,1.9195,0.07088,0.37238,16.64,-0.39,3,434,Hungaria
138508,1.95851,0.07451,0.35379,16.18,0.28,3,434,Hungaria
138514,1.9219,0.08605,0.37271,15.85,-0.5,3,434,Hungaria
138525,1.93047,0.07487,0.34519,16.6,-0.22,3,434,Hungaria
138526,1.94692,0.06026,0.34671,15.48,0.07,3,434,Hungaria
138538,1.97405,0.08731,0.34265,16.16,0.58,3,434,Hungaria
138666,1.94032,0.07491,0.35134,14.89,-0.14,3,434,Hungaria
139587,1.90498,0.07946,0.36332,16.51,-0.65,3,434,Hungaria
139671,1.91702,0.08931,0.35863,16.21,-0.52,3,434,Hungaria
140345,1.9025,0.08019,0.37202,15.94,-0.9,3,434,Hungaria
140384,1.89477,0.07722,0.36472,16.69,-0.76,3,434,Hungaria
140461,1.88751,0.07173,0.35473,16.71,-0.86,3,434,Hungaria
140747,1.94065,0.08972,0.34806,16.11,-0.07,3,434,Hungaria
140864,1.89241,0.0733,0.36078,16.21,-0.99,3,434,Hungaria
140953,1.93014,0.07631,0.35612,16.2,-0.27,3,434,Hungaria
141054,1.96146,0.07644,0.36169,16.01,0.36,3,434,Hungaria
141055,1.96955,0.0668,0.36031,15.9,0.56,3,434,Hungaria
141064,1.9353,0.09341,0.3674,15.55,-0.23,3,434,Hungaria
141297,1.90681,0.07128,0.36451,16.65,-0.58,3,434,Hungaria
141337,1.951,0.07263,0.3613,16.68,0.1,3,434,Hungaria
141338,1.96306,0.10478,0.35103,16.26,0.35,3,434,Hungaria
141339,1.93677,0.07146,0.34407,16.37,-0.13,3,434,Hungaria
141359,1.93634,0.0648,0.37286,16.62,-0.13,3,434,Hungaria
141376,1.92809,0.09502,0.35095,16.49,-0.27,3,434,Hungaria
141398,1.92145,0.0619,0.37798,16.95,-0.31,3,434,Hungaria
141399,1.91604,0.07979,0.35572,16.24,-0.53,3,434,Hungaria
141417,1.96052,0.08659,0.35274,15.92,0.35,3,434,Hungaria
141418,1.93944,0.07681,0.35005,16.77,-0.07,3,434,Hungaria
141431,1.97428,0.08558,0.35541,15.91,0.66,3,434,Hungaria
141444,1.92681,0.06117,0.34527,16.12,-0.35,3,434,Hungaria
141466,1.98456,0.05937,0.35584,16.43,0.69,3,434,Hungaria
141482,1.92383,0.07756,0.35832,16.53,-0.34,3,434,Hungaria
141483,1.92324,0.09152,0.35987,15.77,-0.49,3,434,Hungaria
141488,1.96042,0.06921,0.36426,16.0,0.34,3,434,Hungaria
141490,1.89137,0.06539,0.36779,16.33,-0.96,3,434,Hungaria
141491,1.93187,0.06705,0.36243,15.35,-0.35,3,434,Hungaria
141524,1.96606,0.06224,0.35659,16.09,0.44,3,434,Hungaria
141533,1.91504,0.06697,0.35674,15.83,-0.67,3,434,Hungaria
141534,1.96088,0.09663,0.34877,15.77,0.39,3,434,Hungaria
141585,1.96968,0.07495,0.35152,15.51,0.67,3,434,Hungaria
141602,1.90351,0.06221,0.36381,16.05,-0.84,3,434,Hungaria
141605,1.97108,0.08669,0.35624,15.69,0.65,3,434,Hungaria
141744,1.94012,0.04987,0.36792,16.39,-0.07,3,434,Hungaria
143647,1.95449,0.08699,0.3447,16.32,0.18,3,434,Hungaria
143653,1.92527,0.07237,0.35492,16.58,-0.31,3,434,Hungaria
143655,1.92796,0.08881,0.3518,16.64,-0.26,3,434,Hungaria
143662,1.95666,0.06872,0.37067,16.4,0.22,3,434,Hungaria
143663,1.95391,0.08301,0.35165,16.49,0.16,3,434,Hungaria
143669,1.93872,0.07502,0.35721,16.23,-0.11,3,434,Hungaria
143737,1.97054,0.10684,0.34902,15.48,0.7,3,434,Hungaria
144883,1.96154,0.0882,0.35307,16.8,0.25,3,434,Hungaria
144891,1.96225,0.08773,0.34665,16.8,0.26,3,434,Hungaria
144911,1.96057,0.07134,0.35386,15.82,0.37,3,434,Hungaria
144920,1.95672,0.08753,0.34336,16.39,0.22,3,434,Hungaria
144931,1.91322,0.06419,0.37511,16.13,-0.62,3,434,Hungaria
144945,1.92001,0.0735,0.36205,16.66,-0.38,3,434,Hungaria
144969,1.91585,0.07911,0.37101,16.2,-0.55,3,434,Hungaria
144978,1.97615,0.0704,0.34102,16.3,0.58,3,434,Hungaria
145046,1.93767,0.08184,0.35329,16.51,-0.11,3,434,Hungaria
145170,1.89572,0.0437,0.3742,16.8,-0.71,3,434,Hungaria
145287,1.90504,0.07486,0.36966,16.62,-0.62,3,434,Hungaria
145823,1.90879,0.07575,0.35978,16.29,-0.65,3,434,Hungaria
145839,1.90558,0.05765,0.3627,16.15,-0.76,3,434,Hungaria
146108,1.96683,0.06958,0.34513,15.62,0.56,3,434,Hungaria
146135,1.97056,0.06864,0.34944,15.67,0.64,3,434,Hungaria
146188,1.96319,0.08302,0.35139,16.35,0.34,3,434,Hungaria
146191,1.95001,0.08297,0.35616,15.24,0.17,3,434,Hungaria
146695,1.92539,0.09424,0.35995,15.33,-0.54,3,434,Hungaria
146725,1.91287,0.06589,0.37987,15.59,-0.8,3,434,Hungaria
146831,1.92001,0.07212,0.35094,15.87,-0.54,3,434,Hungaria
146833,1.93146,0.09472,0.3685,16.12,-0.26,3,434,Hungaria
146876,1.89506,0.07779,0.36748,15.85,-1.11,3,434,Hungaria
146894,1.94856,0.07541,0.35021,15.95,0.09,3,434,Hungaria
146946,1.90583,0.06073,0.36224,16.4,-0.67,3,434,Hungaria
146965,1.95056,0.07576,0.34963,15.97,0.13,3,434,Hungaria
146966,1.97215,0.07974,0.34391,15.91,0.61,3,434,Hungaria
147434,1.91081,0.07879,0.34975,16.65,-0.52,3,434,Hungaria
147436,1.92191,0.09116,0.35757,16.1,-0.45,3,434,Hungaria
147437,1.93185,0.05057,0.36148,16.87,-0.18,3,434,Hungaria
147438,1.95751,0.07249,0.36791,16.01,0.28,3,434,Hungaria
147449,1.92279,0.07734,0.37598,14.88,-0.76,3,434,Hungaria
147705,1.93281,0.06635,0.36928,17.13,-0.14,3,434,Hungaria
148083,1.91196,0.0829,0.36787,16.07,-0.66,3,434,Hungaria
148094,1.96172,0.05978,0.35685,16.43,0.3,3,434,Hungaria
148315,1.94985,0.07804,0.34516,15.9,0.12,3,434,Hungaria
148316,1.92001,0.08877,0.35182,16.38,-0.43,3,434,Hungaria
148343,1.96565,0.096,0.34975,15.76,0.5,3,434,Hungaria
149052,1.8932,0.04217,0.37404,16.34,-0.92,3,434,Hungaria
149120,1.90568,0.08283,0.36896,16.42,-0.67,3,434,Hungaria
149162,1.92365,0.07068,0.35819,16.11,-0.41,3,434,Hungaria
149175,1.93432,0.07093,0.36053,15.66,-0.25,3,434,Hungaria
149186,1.95656,0.0815,0.36709,15.74,0.29,3,434,Hungaria
149561,1.96407,0.07353,0.35119,16.02,0.41,3,434,Hungaria
149562,1.9212,0.08134,0.35558,16.73,-0.35,3,434,Hungaria
149564,1.94739,0.06838,0.35635,16.16,0.06,3,434,Hungaria
149567,1.88761,0.05305,0.37943,16.19,-1.09,3,434,Hungaria
149799,1.89716,0.07378,0.35406,16.7,-0.72,3,434,Hungaria
150224,1.89046,0.09449,0.36723,16.85,-0.77,3,434,Hungaria
150240,1.91501,0.09281,0.3438,16.63,-0.46,3,434,Hungaria
150245,1.93893,0.06545,0.35545,15.95,-0.12,3,434,Hungaria
150252,1.95355,0.07041,0.36362,16.17,0.18,3,434,Hungaria
150483,1.92846,0.08843,0.35092,16.1,-0.32,3,434,Hungaria
150524,1.89626,0.09548,0.36872,16.48,-0.81,3,434,Hungaria
150544,1.97085,0.08206,0.35396,15.85,0.6,3,434,Hungaria
151185,1.91998,0.08925,0.34855,16.29,-0.45,3,434,Hungaria
151291,1.88875,0.04062,0.37475,16.68,-0.85,3,434,Hungaria
151483,1.91703,0.07408,0.35192,16.39,-0.48,3,434,Hungaria
151493,1.93201,0.07183,0.35633,16.64,-0.19,3,434,Hungaria
151507,1.89659,0.07793,0.36209,16.08,-0.97,3,434,Hungaria
151515,1.97601,0.07729,0.36499,16.55,0.52,3,434,Hungaria
152535,1.95227,0.07225,0.35824,16.52,0.13,3,434,Hungaria
153054,1.92519,0.05546,0.3603,16.46,-0.33,3,434,Hungaria
153087,1.92269,0.06462,0.36228,16.17,-0.42,3,434,Hungaria
153098,1.90508,0.04845,0.37582,16.51,-0.65,3,434,Hungaria
153106,1.92927,0.07799,0.35105,16.59,-0.24,3,434,Hungaria
153213,1.97384,0.07217,0.36204,16.31,0.54,3,434,Hungaria
153242,1.97567,0.06783,0.3566,15.89,0.69,3,434,Hungaria
153874,1.87891,0.06558,0.3717,16.89,-0.91,3,434,Hungaria
153954,1.96689,0.09125,0.34883,16.25,0.42,3,434,Hungaria
154153,1.92421,0.09517,0.36242,15.87,-0.45,3,434,Hungaria
154258,1.97584,0.07601,0.35186,16.63,0.5,3,434,Hungaria
154260,1.97829,0.06678,0.35727,16.25,0.64,3,434,Hungaria
154630,1.93203,0.08802,0.36104,16.28,-0.23,3,434,Hungaria
154635,1.89586,0.07282,0.37882,16.11,-0.97,3,434,Hungaria
154637,1.98235,0.0612,0.35006,16.39,0.67,3,434,Hungaria
154638,1.91371,0.06329,0.35044,16.12,-0.61,3,434,Hungaria
154641,1.97276,0.06794,0.35785,16.32,0.52,3,434,Hungaria
154642,1.96574,0.06536,0.35154,15.82,0.49,3,434,Hungaria
154643,1.96026,0.07373,0.36277,15.91,0.35,3,434,Hungaria
154644,1.9822,0.08179,0.35231,16.43,0.65,3,434,Hungaria
154646,1.94239,0.08041,0.35649,16.18,-0.04,3,434,Hungaria
154648,1.92888,0.05411,0.34828,15.96,-0.33,3,434,Hungaria
154649,1.96507,0.0918,0.35354,16.56,0.34,3,434,Hungaria
154660,1.92056,0.08153,0.37041,16.9,-0.33,3,434,Hungaria
155065,1.96827,0.07202,0.35258,16.63,0.38,3,434,Hungaria
155503,1.92617,0.08012,0.35623,16.73,-0.27,3,434,Hungaria
155768,1.89424,0.06642,0.37252,16.86,-0.71,3,434,Hungaria
155816,1.96359,0.0561,0.3536,16.36,0.34,3,434,Hungaria
