Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
147836,3.96609,0.19533,0.05011,14.3,-99.9999,2,1911,Schubart
148234,3.96654,0.207,0.04892,14.61,-99.9999,2,1911,Schubart
150033,3.96572,0.18646,0.04993,14.96,-99.9999,2,1911,Schubart
152900,3.96577,0.18777,0.04969,14.16,-99.9999,2,1911,Schubart
153357,3.96651,0.20533,0.05063,14.16,-99.9999,2,1911,Schubart
154932,3.96651,0.20646,0.04618,14.99,-99.9999,2,1911,Schubart
154960,3.9652,0.17687,0.05112,14.58,-99.9999,2,1911,Schubart
155125,3.96488,0.17201,0.0502,14.61,-99.9999,2,1911,Schubart
156717,3.96578,0.18123,0.05101,14.61,-99.9999,2,1911,Schubart
157375,3.96612,0.19648,0.0499,14.51,-99.9999,2,1911,Schubart
159937,3.96591,0.18645,0.04866,14.77,-99.9999,2,1911,Schubart
162227,3.96642,0.1968,0.05159,14.68,-99.9999,2,1911,Schubart
162280,3.96502,0.17376,0.05088,14.07,-99.9999,2,1911,Schubart
164843,3.9645,0.16447,0.05198,14.62,-99.9999,2,1911,Schubart
164858,3.96544,0.18188,0.05023,14.17,-99.9999,2,1911,Schubart
168525,3.96622,0.19867,0.05078,14.23,-99.9999,2,1911,Schubart
168557,3.96534,0.18016,0.04991,14.11,-99.9999,2,1911,Schubart
169509,3.96624,0.19923,0.04975,14.19,-99.9999,2,1911,Schubart
171513,3.96591,0.19158,0.05037,14.29,-99.9999,2,1911,Schubart
171562,3.96701,0.21723,0.05186,15.0,-99.9999,2,1911,Schubart
173083,3.96632,0.20117,0.0515,14.48,-99.9999,2,1911,Schubart
173643,3.96643,0.20409,0.05021,14.09,-99.9999,2,1911,Schubart
175936,3.9649,0.17155,0.04968,14.92,-99.9999,2,1911,Schubart
177940,3.96684,0.20907,0.05087,14.93,-99.9999,2,1911,Schubart
177943,3.9662,0.19814,0.04993,14.47,-99.9999,2,1911,Schubart
178295,3.9663,0.20095,0.04893,14.15,-99.9999,2,1911,Schubart
181256,3.96539,0.18107,0.04979,13.98,-99.9999,2,1911,Schubart
181275,3.96641,0.2033,0.05091,15.14,-99.9999,2,1911,Schubart
181633,3.96609,0.19496,0.05126,15.34,-99.9999,2,1911,Schubart
182062,3.96491,0.17082,0.05044,15.18,-99.9999,2,1911,Schubart
182069,3.96539,0.18124,0.05018,14.44,-99.9999,2,1911,Schubart
182204,3.96533,0.17937,0.05072,14.26,-99.9999,2,1911,Schubart
184955,3.9671,0.21745,0.05315,14.07,-99.9999,2,1911,Schubart
184961,3.96599,0.19145,0.0514,15.39,-99.9999,2,1911,Schubart
187011,3.96537,0.17965,0.0487,15.3,-99.9999,2,1911,Schubart
187423,3.9652,0.17768,0.05062,15.56,-99.9999,2,1911,Schubart
188341,3.96584,0.1901,0.04921,14.22,-99.9999,2,1911,Schubart
193293,3.96588,0.19139,0.04976,14.46,-99.9999,2,1911,Schubart
194384,3.96489,0.17192,0.05129,14.63,-99.9999,2,1911,Schubart
194741,3.96712,0.2201,0.05224,14.25,-99.9999,2,1911,Schubart
194742,3.96617,0.19733,0.0501,14.55,-99.9999,2,1911,Schubart
194743,3.9657,0.18342,0.04753,14.55,-99.9999,2,1911,Schubart
194860,3.96617,0.19764,0.05044,13.83,-99.9999,2,1911,Schubart
194927,3.9672,0.21692,0.04854,14.26,-99.9999,2,1911,Schubart
197478,3.96534,0.18024,0.04963,14.34,-99.9999,2,1911,Schubart
198722,3.96678,0.21266,0.0503,14.78,-99.9999,2,1911,Schubart
200465,3.96636,0.20239,0.04967,14.59,-99.9999,2,1911,Schubart
200902,3.96664,0.20954,0.0503,15.07,-99.9999,2,1911,Schubart
202982,3.96609,0.19549,0.05051,14.32,-99.9999,2,1911,Schubart
203156,3.96642,0.20375,0.04884,14.66,-99.9999,2,1911,Schubart
203157,3.96731,0.21803,0.04079,14.58,-99.9999,2,1911,Schubart
203159,3.96633,0.20103,0.05021,14.47,-99.9999,2,1911,Schubart
204851,3.96651,0.20619,0.04925,14.95,-99.9999,2,1911,Schubart
204856,3.96472,0.16864,0.05131,15.24,-99.9999,2,1911,Schubart
205134,3.96616,0.19745,0.05025,15.18,-99.9999,2,1911,Schubart
207380,3.96539,0.18107,0.04981,14.39,-99.9999,2,1911,Schubart
207387,3.96625,0.19913,0.04984,15.18,-99.9999,2,1911,Schubart
207591,3.9663,0.20086,0.05129,14.3,-99.9999,2,1911,Schubart
